Stats since: 1ns
---PROFILEDATA---
Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,
0,5000158750460,5000158750460,5000000000000,5000000000000,0,0,0,0,0,0,0,0,5000175417126,
0,5000184231118,5000184231118,5000000000000,5000000000000,0,0,0,0,0,0,0,0,5000200897784,
0,5000214937575,5000214937575,5000000000000,5000000000000,0,0,0,0,0,0,0,0,5000231604241,
0,5002114724814,5002114724814,0,0,0,0,0,0,0,0,0,0,5002131391480,
0,5002204083770,5002204083770,0,0,0,0,0,0,0,0,0,0,5002220750436,
0,5002334822145,5002334822145,0,0,0,0,0,0,0,0,0,0,5002351488811,
0,5002425122971,5002425122971,0,0,0,0,0,0,0,0,0,0,5002441789637,
0,5002553697522,5002553697522,0,0,0,0,0,0,0,0,0,0,5002570364188,
0,5002643668201,5002643668201,0,0,0,0,0,0,0,0,0,0,5002660334867,
0,5002774642998,5002774642998,0,0,0,0,0,0,0,0,0,0,5002791309664,
0,5002864901684,5002864901684,0,0,0,0,0,0,0,0,0,0,5002881568350,
0,5002994518818,5002994518818,0,0,0,0,0,0,0,0,0,0,5003011185484,
0,5003084972813,5003084972813,0,0,0,0,0,0,0,0,0,0,5003101639479,
0,5003214559127,5003214559127,0,0,0,0,0,0,0,0,0,0,5003231225793,
0,5003303675698,5003303675698,0,0,0,0,0,0,0,0,0,0,5003320342364,
0,5003435140277,5003435140277,0,0,0,0,0,0,0,0,0,0,5003451806943,
0,5003524848843,5003524848843,0,0,0,0,0,0,0,0,0,0,5003541515509,
0,5003653996583,5003653996583,0,0,0,0,0,0,0,0,0,0,5003670663249,
0,5003745033679,5003745033679,0,0,0,0,0,0,0,0,0,0,5003761700345,
0,5003874829602,5003874829602,0,0,0,0,0,0,0,0,0,0,5003891496268,
0,5003963724055,5003963724055,0,0,0,0,0,0,0,0,0,0,5003980390721,
0,5004094244070,5004094244070,0,0,0,0,0,0,0,0,0,0,5004110910736,
0,5004183491462,5004183491462,0,0,0,0,0,0,0,0,0,0,5004200158128,
0,5004313984646,5004313984646,0,0,0,0,0,0,0,0,0,0,5004330651312,
0,5004405046723,5004405046723,0,0,0,0,0,0,0,0,0,0,5004421713389,
0,5004534217535,5004534217535,0,0,0,0,0,0,0,0,0,0,5004550884201,
0,5004625260548,5004625260548,0,0,0,0,0,0,0,0,0,0,5004641927214,
0,5004753442720,5004753442720,0,0,0,0,0,0,0,0,0,0,5004770109386,
0,5004884703534,5004884703534,0,0,0,0,0,0,0,0,0,0,5004901370200,
0,5009065045905,5009065045905,5008905000000,5008905000000,0,0,0,0,0,0,0,0,5009081712571,
0,5009089106516,5009089106516,5008905000000,5008905000000,0,0,0,0,0,0,0,0,5009105773182,
0,5009118965748,5009118965748,5008905000000,5008905000000,0,0,0,0,0,0,0,0,5009135632414,
0,5011019102332,5011019102332,0,0,0,0,0,0,0,0,0,0,5011035768998,
0,5011148942228,5011148942228,0,0,0,0,0,0,0,0,0,0,5011165608894,
0,5011240171595,5011240171595,0,0,0,0,0,0,0,0,0,0,5011256838261,
0,5011369112287,5011369112287,0,0,0,0,0,0,0,0,0,0,5011385778953,
0,5011458903118,5011458903118,0,0,0,0,0,0,0,0,0,0,5011475569784,
0,5011588620980,5011588620980,0,0,0,0,0,0,0,0,0,0,5011605287646,
0,5011679648007,5011679648007,0,0,0,0,0,0,0,0,0,0,5011696314673,
0,5011810047956,5011810047956,0,0,0,0,0,0,0,0,0,0,5011826714622,
0,5011900113707,5011900113707,0,0,0,0,0,0,0,0,0,0,5011916780373,
0,5012029223720,5012029223720,0,0,0,0,0,0,0,0,0,0,5012045890386,
0,5012119107999,5012119107999,0,0,0,0,0,0,0,0,0,0,5012135774665,
0,5012249130533,5012249130533,0,0,0,0,0,0,0,0,0,0,5012265797199,
0,5012339759744,5012339759744,0,0,0,0,0,0,0,0,0,0,5012356426410,
0,5012469543040,5012469543040,0,0,0,0,0,0,0,0,0,0,5012486209706,
0,5012558514486,5012558514486,0,0,0,0,0,0,0,0,0,0,5012575181152,
0,5012688447989,5012688447989,0,0,0,0,0,0,0,0,0,0,5012705114655,
0,5012779907688,5012779907688,0,0,0,0,0,0,0,0,0,0,5012796574354,
0,5012909724850,5012909724850,0,0,0,0,0,0,0,0,0,0,5012926391516,
0,5012998506653,5012998506653,0,0,0,0,0,0,0,0,0,0,5013015173319,
0,5013130214889,5013130214889,0,0,0,0,0,0,0,0,0,0,5013146881555,
0,5013219647483,5013219647483,0,0,0,0,0,0,0,0,0,0,5013236314149,
0,5013349315618,5013349315618,0,0,0,0,0,0,0,0,0,0,5013365982284,
0,5013439033447,5013439033447,0,0,0,0,0,0,0,0,0,0,5013455700113,
0,5013570198107,5013570198107,0,0,0,0,0,0,0,0,0,0,5013586864773,
0,5013659239461,5013659239461,0,0,0,0,0,0,0,0,0,0,5013675906127,
0,5013789857580,5013789857580,0,0,0,0,0,0,0,0,0,0,5013806524246,
0,5017968919565,5017968919565,5017810000000,5017810000000,0,0,0,0,0,0,0,0,5017985586231,
0,5017993396539,5017993396539,5017810000000,5017810000000,0,0,0,0,0,0,0,0,5018010063205,
0,5018024995899,5018024995899,5017810000000,5017810000000,0,0,0,0,0,0,0,0,5018041662565,
0,5019924136051,5019924136051,0,0,0,0,0,0,0,0,0,0,5019940802717,
