Stats since: 1ns
---PROFILEDATA---
Flags,FrameTimelineVsyncId,IntendedVsync,Vsync,InputEventId,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,FrameDeadline,FrameInterval,FrameStartTime,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,GpuCompleted,SwapBuffersCompleted,DisplayPresentTime,CommandSubmissionCompleted,
0,0,5000128750460,5000128750460,7,0,0,0,0,0,0,0,0,0,0,0,5000145417126,0,0,0,0,5000145417126,0,
0,0,5000154231118,5000154231118,7,0,0,0,0,0,0,0,0,0,0,0,5000170897784,0,0,0,0,5000170897784,0,
0,0,5000184937575,5000184937575,7,0,0,0,0,0,0,0,0,0,0,0,5000201604241,0,0,0,0,5000201604241,0,
0,0,5002084724814,5002084724814,0,0,0,0,0,0,0,0,0,0,0,0,5002101391480,0,0,0,0,5002101391480,0,
0,0,5002144083770,5002144083770,0,0,0,0,0,0,0,0,0,0,0,0,5002160750436,0,0,0,0,5002160750436,0,
0,0,5002234822145,5002234822145,0,0,0,0,0,0,0,0,0,0,0,0,5002251488811,0,0,0,0,5002251488811,0,
0,0,5002355122971,5002355122971,0,0,0,0,0,0,0,0,0,0,0,0,5002371789637,0,0,0,0,5002371789637,0,
0,0,5002553697522,5002553697522,0,0,0,0,0,0,0,0,0,0,0,0,5002570364188,0,0,0,0,5002570364188,0,
0,0,5002933668201,5002933668201,0,0,0,0,0,0,0,0,0,0,0,0,5002950334867,0,0,0,0,5002950334867,0,
0,0,5003574642998,5003574642998,0,0,0,0,0,0,0,0,0,0,0,0,5003591309664,0,0,0,0,5003591309664,0,
0,0,5004474901684,5004474901684,0,0,0,0,0,0,0,0,0,0,0,0,5004491568350,0,0,0,0,5004491568350,0,
0,0,5004534518818,5004534518818,0,0,0,0,0,0,0,0,0,0,0,0,5004551185484,0,0,0,0,5004551185484,0,
0,0,5004624972813,5004624972813,0,0,0,0,0,0,0,0,0,0,0,0,5004641639479,0,0,0,0,5004641639479,0,
0,0,5004744559127,5004744559127,0,0,0,0,0,0,0,0,0,0,0,0,5004761225793,0,0,0,0,5004761225793,0,
0,0,5004943675698,5004943675698,0,0,0,0,0,0,0,0,0,0,0,0,5004960342364,0,0,0,0,5004960342364,0,
0,0,5005325140277,5005325140277,0,0,0,0,0,0,0,0,0,0,0,0,5005341806943,0,0,0,0,5005341806943,0,
0,0,5005964848843,5005964848843,0,0,0,0,0,0,0,0,0,0,0,0,5005981515509,0,0,0,0,5005981515509,0,
0,0,5006863996583,5006863996583,0,0,0,0,0,0,0,0,0,0,0,0,5006880663249,0,0,0,0,5006880663249,0,
0,0,5006925033679,5006925033679,0,0,0,0,0,0,0,0,0,0,0,0,5006941700345,0,0,0,0,5006941700345,0,
0,0,5007014829602,5007014829602,0,0,0,0,0,0,0,0,0,0,0,0,5007031496268,0,0,0,0,5007031496268,0,
0,0,5007133724055,5007133724055,0,0,0,0,0,0,0,0,0,0,0,0,5007150390721,0,0,0,0,5007150390721,0,
0,0,5007334244070,5007334244070,0,0,0,0,0,0,0,0,0,0,0,0,5007350910736,0,0,0,0,5007350910736,0,
0,0,5007713491462,5007713491462,0,0,0,0,0,0,0,0,0,0,0,0,5007730158128,0,0,0,0,5007730158128,0,
0,0,5008353984646,5008353984646,0,0,0,0,0,0,0,0,0,0,0,0,5008370651312,0,0,0,0,5008370651312,0,
0,0,5009255046723,5009255046723,0,0,0,0,0,0,0,0,0,0,0,0,5009271713389,0,0,0,0,5009271713389,0,
0,0,5009314217535,5009314217535,0,0,0,0,0,0,0,0,0,0,0,0,5009330884201,0,0,0,0,5009330884201,0,
0,0,5009405260548,5009405260548,0,0,0,0,0,0,0,0,0,0,0,0,5009421927214,0,0,0,0,5009421927214,0,
0,0,5009523442720,5009523442720,0,0,0,0,0,0,0,0,0,0,0,0,5009540109386,0,0,0,0,5009540109386,0,
0,0,5009724703534,5009724703534,0,0,0,0,0,0,0,0,0,0,0,0,5009741370200,0,0,0,0,5009741370200,0,
0,0,5010105045905,5010105045905,0,0,0,0,0,0,0,0,0,0,0,0,5010121712571,0,0,0,0,5010121712571,0,
0,0,5010744106516,5010744106516,0,0,0,0,0,0,0,0,0,0,0,0,5010760773182,0,0,0,0,5010760773182,0,
0,0,5011643965748,5011643965748,0,0,0,0,0,0,0,0,0,0,0,0,5011660632414,0,0,0,0,5011660632414,0,
0,0,5011704102332,5011704102332,0,0,0,0,0,0,0,0,0,0,0,0,5011720768998,0,0,0,0,5011720768998,0,
0,0,5012603942228,5012603942228,0,0,0,0,0,0,0,0,0,0,0,0,5012620608894,0,0,0,0,5012620608894,0,
0,0,5015755171595,5015755171595,7,0,0,0,0,0,0,0,0,0,0,0,5015771838261,0,0,0,0,5015771838261,0,
0,0,5015779112287,5015779112287,7,0,0,0,0,0,0,0,0,0,0,0,5015795778953,0,0,0,0,5015795778953,0,
0,0,5015808903118,5015808903118,7,0,0,0,0,0,0,0,0,0,0,0,5015825569784,0,0,0,0,5015825569784,0,
0,0,5017708620980,5017708620980,0,0,0,0,0,0,0,0,0,0,0,0,5017725287646,0,0,0,0,5017725287646,0,
0,0,5017799648007,5017799648007,0,0,0,0,0,0,0,0,0,0,0,0,5017816314673,0,0,0,0,5017816314673,0,
0,0,5017920047956,5017920047956,0,0,0,0,0,0,0,0,0,0,0,0,5017936714622,0,0,0,0,5017936714622,0,
0,0,5018120113707,5018120113707,0,0,0,0,0,0,0,0,0,0,0,0,5018136780373,0,0,0,0,5018136780373,0,
0,0,5018499223720,5018499223720,0,0,0,0,0,0,0,0,0,0,0,0,5018515890386,0,0,0,0,5018515890386,0,
0,0,5019139107999,5019139107999,0,0,0,0,0,0,0,0,0,0,0,0,5019155774665,0,0,0,0,5019155774665,0,
0,0,5020039130533,5020039130533,0,0,0,0,0,0,0,0,0,0,0,0,5020055797199,0,0,0,0,5020055797199,0,
0,0,5020099759744,5020099759744,0,0,0,0,0,0,0,0,0,0,0,0,5020116426410,0,0,0,0,5020116426410,0,
0,0,5020189543040,5020189543040,0,0,0,0,0,0,0,0,0,0,0,0,5020206209706,0,0,0,0,5020206209706,0,
0,0,5020308514486,5020308514486,0,0,0,0,0,0,0,0,0,0,0,0,5020325181152,0,0,0,0,5020325181152,0,
0,0,5020508447989,5020508447989,0,0,0,0,0,0,0,0,0,0,0,0,5020525114655,0,0,0,0,5020525114655,0,
