campaign_id,point_id,carrier,time_band,tier,profile_id,kpi,n,median,mean,cv_percent,unstable,low_confidence,cv_not_computable_reason,implausible_values,synthetic
m2-pilot-20260731,SZ-PILOT-01,ctcc,busy,metro,s1_chat,t1_ttft_ms,11,53.261061999999995,53.051370909090906,5.475368906438172,False,False,,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,busy,metro,s2_coding_agent,t1_ttft_ms,11,54.072188000000004,54.849144,10.346444981688768,True,False,,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,busy,metro,s3_multimodal,t1_ttft_ms,11,53.00610399999999,53.25924245454546,5.9025028913145015,False,False,,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,idle,metro,s1_chat,t1_ttft_ms,1,47.190270999999996,47.190270999999996,,False,True,n<2,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,idle,metro,s2_coding_agent,t1_ttft_ms,1,59.3185,59.3185,,False,True,n<2,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,idle,metro,s3_multimodal,t1_ttft_ms,1,51.167104,51.167104,,False,True,n<2,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,busy,metro,s1_chat,n1_rtt_p50_ms,11,65.034,65.37309090909092,3.2600886309238097,False,False,,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,busy,metro,s2_coding_agent,n1_rtt_p50_ms,11,65.072,64.16718181818182,3.6297813724610504,False,False,,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,busy,metro,s3_multimodal,n1_rtt_p50_ms,11,62.549,62.575545454545455,4.446565576217819,False,False,,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,idle,metro,s1_chat,n1_rtt_p50_ms,1,64.194,64.194,,False,True,n<2,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,idle,metro,s2_coding_agent,n1_rtt_p50_ms,1,63.409,63.409,,False,True,n<2,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,idle,metro,s3_multimodal,n1_rtt_p50_ms,1,59.384,59.384,,False,True,n<2,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,busy,metro,s1_chat,u1_goodput_mbps,11,0.14166755316971164,0.14272075726589703,6.170776413841026,False,False,,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,busy,metro,s2_coding_agent,u1_goodput_mbps,11,10.046161929925674,10.11110726569884,8.291206299772586,False,False,,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,busy,metro,s3_multimodal,u1_goodput_mbps,11,16.429040149393625,16.55859559227508,5.175262596536712,False,False,,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,idle,metro,s1_chat,u1_goodput_mbps,1,0.14299933547727017,0.14299933547727017,,False,True,n<2,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,idle,metro,s2_coding_agent,u1_goodput_mbps,1,11.175838941582262,11.175838941582262,,False,True,n<2,,False
m2-pilot-20260731,SZ-PILOT-01,ctcc,idle,metro,s3_multimodal,u1_goodput_mbps,1,17.068337837236363,17.068337837236363,,False,True,n<2,,False
