point_id,carrier,time_band,n,modal_attribution,score_median,sawtooth_median,near_zero_median,suspect_share,distortion_hotspot,low_confidence,mixed_campaigns,not_detected,sample_count_median,implausible_values,synthetic
SYNTH-P01,cmcc,busy,90,none,0.016649999999999998,0.009600000000000001,0.0,0.0,False,False,,0,100.0,,True
SYNTH-P01,cmcc,idle,90,none,0.01575,0.009649999999999999,0.0,0.0,False,False,,0,100.0,,True
SYNTH-P01,cucc,busy,90,none,0.01465,0.011300000000000001,0.0,0.0,False,False,,0,100.0,,True
SYNTH-P01,cucc,idle,90,none,0.014450000000000001,0.0104,0.0,0.0,False,False,,0,100.0,,True
SYNTH-P02,cmcc,busy,90,none,0.01715,0.01015,0.0,0.0,False,False,,0,100.0,,True
SYNTH-P02,cmcc,idle,90,none,0.016649999999999998,0.01145,0.0,0.0,False,False,,0,100.0,,True
SYNTH-P02,cucc,busy,90,none,0.016300000000000002,0.01015,0.0,0.0,False,False,,0,100.0,,True
SYNTH-P02,cucc,idle,90,none,0.013649999999999999,0.00935,0.0,0.0,False,False,,0,100.0,,True
SYNTH-P03,cmcc,busy,45,middlebox_suspect,0.5001,0.3862,0.2909,1.0,True,False,,0,100,,True
SYNTH-P03,cmcc,idle,45,none,0.0119,0.0124,0.0,0.0,False,False,,0,100,,True
SYNTH-P03,cucc,busy,45,middlebox_suspect,0.5351,0.3576,0.2874,1.0,True,False,,0,100,,True
SYNTH-P03,cucc,idle,45,none,0.0119,0.0118,0.0,0.0,False,False,,0,100,,True
SYNTH-P04,cmcc,busy,45,none,0.0208,0.0128,0.0,0.0,False,False,,0,100,,True
SYNTH-P04,cmcc,idle,45,none,0.0176,0.0095,0.0,0.0,False,False,,0,100,,True
SYNTH-P04,cucc,busy,45,none,0.0119,0.0069,0.0,0.0,False,False,,0,100,,True
SYNTH-P04,cucc,idle,45,none,0.0156,0.0081,0.0,0.0,False,False,,0,100,,True
SYNTH-P05,cmcc,busy,45,none,0.0126,0.0132,0.0,0.0,False,False,,0,100,,True
SYNTH-P05,cmcc,idle,45,none,0.0158,0.0094,0.0,0.0,False,False,,0,100,,True
SYNTH-P05,cucc,busy,45,none,0.0165,0.0085,0.0,0.0,False,False,,0,100,,True
SYNTH-P05,cucc,idle,45,none,0.0165,0.0085,0.0,0.0,False,False,,0,100,,True
SYNTH-P06,cmcc,busy,45,none,0.0125,0.0101,0.0,0.0,False,False,,0,100,,True
SYNTH-P06,cmcc,idle,45,none,0.0187,0.0094,0.0,0.0,False,False,,0,100,,True
SYNTH-P06,cucc,busy,45,none,0.0121,0.0099,0.0,0.0,False,False,,0,100,,True
SYNTH-P06,cucc,idle,45,none,0.0174,0.0084,0.0,0.0,False,False,,0,100,,True
SYNTH-P07,cmcc,busy,45,none,0.0155,0.0105,0.0,0.0,False,False,,0,100,,True
SYNTH-P07,cmcc,idle,45,none,0.013,0.0076,0.0,0.0,False,False,,0,100,,True
SYNTH-P07,cucc,busy,45,none,0.0138,0.0102,0.0,0.0,False,False,,0,100,,True
SYNTH-P07,cucc,idle,45,none,0.0172,0.0083,0.0,0.0,False,False,,0,100,,True
SYNTH-P08,cmcc,busy,45,none,0.0114,0.0119,0.0,0.0,False,False,,0,100,,True
SYNTH-P08,cmcc,idle,45,none,0.0142,0.0125,0.0,0.0,False,False,,0,100,,True
SYNTH-P08,cucc,busy,45,none,0.0125,0.0084,0.0,0.0,False,False,,0,100,,True
SYNTH-P08,cucc,idle,45,none,0.0155,0.0107,0.0,0.0,False,False,,0,100,,True
