kpi,point_id,carrier,time_band,median,profile_span,profile_medians,grade,grade_tie,n,low_confidence,mixed_campaigns,implausible_values,ruled_out,synthetic
t1_ttft_ms,SYNTH-P01,cmcc,busy,453.15,452.2–454.5（3 个 profile）,s1_chat=454.5; s2_coding_agent=453.1; s3_multimodal=452.2,good,,86,False,,,,True
t1_ttft_ms,SYNTH-P01,cmcc,idle,437.7,426.7–453.59（3 个 profile）,s1_chat=439.3; s2_coding_agent=453.59000000000003; s3_multimodal=426.70000000000005,good,,87,False,,,,True
t1_ttft_ms,SYNTH-P01,cucc,busy,459.4,453.5–460.1（3 个 profile）,s1_chat=453.5; s2_coding_agent=458.78; s3_multimodal=460.1,good,,82,False,,,,True
t1_ttft_ms,SYNTH-P01,cucc,idle,441.65,440.1–444.5（3 个 profile）,s1_chat=440.1; s2_coding_agent=444.5; s3_multimodal=441.65,good,,80,False,,,,True
t1_ttft_ms,SYNTH-P02,cmcc,busy,465.26,460.3–471.9（3 个 profile）,s1_chat=460.3; s2_coding_agent=464.59000000000003; s3_multimodal=471.9,good,,84,False,,,,True
t1_ttft_ms,SYNTH-P02,cmcc,idle,439.5,432.34–440.3（3 个 profile）,s1_chat=438.45; s2_coding_agent=432.34; s3_multimodal=440.3,good,,78,False,,,,True
t1_ttft_ms,SYNTH-P02,cucc,busy,461.15,457.4–462.25（3 个 profile）,s1_chat=457.4; s2_coding_agent=460.35; s3_multimodal=462.25,good,,88,False,,,,True
t1_ttft_ms,SYNTH-P02,cucc,idle,451.0,445.1–462.5（3 个 profile）,s1_chat=445.1; s2_coding_agent=462.505; s3_multimodal=449.75,good,,81,False,,,,True
t1_ttft_ms,SYNTH-P03,cmcc,busy,462.2,409.14–468.2（3 个 profile）,s1_chat=468.2; s2_coding_agent=409.14; s3_multimodal=463.1,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P03,cmcc,idle,454.0,448.7–458.99（3 个 profile）,s1_chat=452.8; s2_coding_agent=458.99; s3_multimodal=448.7,good,,41,False,,,,True
t1_ttft_ms,SYNTH-P03,cucc,busy,480.5,475.3–481.3（3 个 profile）,s1_chat=481.3; s2_coding_agent=475.755; s3_multimodal=475.3,good,,42,False,,,,True
t1_ttft_ms,SYNTH-P03,cucc,idle,455.9,447.7–468.2（3 个 profile）,s1_chat=468.2; s2_coding_agent=455.67; s3_multimodal=447.7,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P04,cmcc,busy,453.3,415.33–498.15（3 个 profile）,s1_chat=498.15; s2_coding_agent=415.33; s3_multimodal=447.1,good,,39,False,,,,True
t1_ttft_ms,SYNTH-P04,cmcc,idle,451.7,414.6–452.9（3 个 profile）,s1_chat=452.9; s2_coding_agent=443.79; s3_multimodal=414.6,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P04,cucc,busy,509.0,497.8–512.31（3 个 profile）,s1_chat=497.79999999999995; s2_coding_agent=512.3149999999999; s3_multimodal=509.0,good,,41,False,,,,True
t1_ttft_ms,SYNTH-P04,cucc,idle,448.1,407.76–471.5（3 个 profile）,s1_chat=427.4; s2_coding_agent=407.76; s3_multimodal=471.5,good,,41,False,,,,True
t1_ttft_ms,SYNTH-P05,cmcc,busy,481.4,466.3–489.4（3 个 profile）,s1_chat=479.0; s2_coding_agent=466.295; s3_multimodal=489.4,good,,42,False,,,,True
t1_ttft_ms,SYNTH-P05,cmcc,idle,444.8,428.87–451.6（3 个 profile）,s1_chat=451.6; s2_coding_agent=428.87; s3_multimodal=442.1,good,,45,False,,,,True
t1_ttft_ms,SYNTH-P05,cucc,busy,499.95,495.1–501.3（3 个 profile）,s1_chat=501.3; s2_coding_agent=497.405; s3_multimodal=495.1,good,,42,False,,,,True
t1_ttft_ms,SYNTH-P05,cucc,idle,466.55,463.65–467.1（3 个 profile）,s1_chat=465.25; s2_coding_agent=463.655; s3_multimodal=467.1,good,,42,False,,,,True
t1_ttft_ms,SYNTH-P06,cmcc,busy,490.96,487.4–494.2（3 个 profile）,s1_chat=487.4; s2_coding_agent=490.87; s3_multimodal=494.2,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P06,cmcc,idle,459.53,455.1–462.2（3 个 profile）,s1_chat=460.65; s2_coding_agent=455.095; s3_multimodal=462.2,good,,39,False,,,,True
t1_ttft_ms,SYNTH-P06,cucc,busy,505.6,491.27–507.6（3 个 profile）,s1_chat=505.1; s2_coding_agent=491.27; s3_multimodal=507.6,good,,45,False,,,,True
t1_ttft_ms,SYNTH-P06,cucc,idle,476.0,470.7–482.66（3 个 profile）,s1_chat=470.7; s2_coding_agent=482.66; s3_multimodal=474.3,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P07,cmcc,busy,490.9,465.71–498.4（3 个 profile）,s1_chat=491.2; s2_coding_agent=465.71; s3_multimodal=498.4,good,,42,False,,,,True
t1_ttft_ms,SYNTH-P07,cmcc,idle,461.1,442.78–470.9（3 个 profile）,s1_chat=470.9; s2_coding_agent=442.78499999999997; s3_multimodal=469.8,good,,40,False,,,,True
t1_ttft_ms,SYNTH-P07,cucc,busy,504.55,489.1–525.21（3 个 profile）,s1_chat=489.1; s2_coding_agent=525.21; s3_multimodal=501.3,good,,44,False,,,,True
t1_ttft_ms,SYNTH-P07,cucc,idle,465.1,439.84–480.4（3 个 profile）,s1_chat=480.4; s2_coding_agent=439.83500000000004; s3_multimodal=464.2,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P08,cmcc,busy,536.2,518.91–542.15（3 个 profile）,s1_chat=542.1500000000001; s2_coding_agent=518.91; s3_multimodal=539.95,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P08,cmcc,idle,495.7,487.7–523.29（3 个 profile）,s1_chat=487.7; s2_coding_agent=523.29; s3_multimodal=495.7,good,,45,False,,,,True
t1_ttft_ms,SYNTH-P08,cucc,busy,560.0,536.61–562.5（3 个 profile）,s1_chat=562.5; s2_coding_agent=536.61; s3_multimodal=560.0,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P08,cucc,idle,505.0,499.3–530.61（3 个 profile）,s1_chat=513.1; s2_coding_agent=530.61; s3_multimodal=499.3,good,,43,False,,,,True
n1_rtt_p50_ms,SYNTH-P01,cmcc,busy,22.84,22.62–22.98（3 个 profile）,s1_chat=22.625; s2_coding_agent=22.86; s3_multimodal=22.98,good,,86,False,,,,True
n1_rtt_p50_ms,SYNTH-P01,cmcc,idle,16.95,16.88–17.11（3 个 profile）,s1_chat=17.11; s2_coding_agent=16.875; s3_multimodal=16.935000000000002,good,,87,False,,,,True
n1_rtt_p50_ms,SYNTH-P01,cucc,busy,25.66,25.63–25.7（3 个 profile）,s1_chat=25.66; s2_coding_agent=25.634999999999998; s3_multimodal=25.7,good,,82,False,,,,True
n1_rtt_p50_ms,SYNTH-P01,cucc,idle,19.085,19.06–19.21（3 个 profile）,s1_chat=19.21; s2_coding_agent=19.08; s3_multimodal=19.064999999999998,good,,80,False,,,,True
n1_rtt_p50_ms,SYNTH-P02,cmcc,busy,25.225,24.89–25.26（3 个 profile）,s1_chat=24.89; s2_coding_agent=25.259999999999998; s3_multimodal=25.23,good,,84,False,,,,True
n1_rtt_p50_ms,SYNTH-P02,cmcc,idle,18.61,18.61–18.62（3 个 profile）,s1_chat=18.615000000000002; s2_coding_agent=18.61; s3_multimodal=18.61,good,,78,False,,,,True
n1_rtt_p50_ms,SYNTH-P02,cucc,busy,28.19,28.09–28.22（3 个 profile）,s1_chat=28.11; s2_coding_agent=28.22; s3_multimodal=28.085,good,,88,False,,,,True
n1_rtt_p50_ms,SYNTH-P02,cucc,idle,20.89,20.83–20.91（3 个 profile）,s1_chat=20.83; s2_coding_agent=20.915; s3_multimodal=20.86,good,,81,False,,,,True
