campaign_id,point_id,carrier,time_band,tier,profile_id,kpi,n,median,cv_percent,unstable,target_effect_pct,target_abs,mde,mde_pct,mde_at_power,required_n_breakeven,required_n_at_power,resolves_target_breakeven,resolves_at_power,plan_power,scenario_intrinsic_jitter,scenario_jitter_reason,synthetic
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s1_chat,t1_ttft_ms,28,454.5,4.747898184140037,False,5.0,22.725,7.227427791214674,1.5901931333805661,13.310184484415931,3,10,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,29,453.1,10.472202002794853,True,5.0,22.655,15.399539285410615,3.3987065295543175,28.36011853525245,14,46,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,29,452.2,5.743132410267968,False,5.0,22.61,8.562098383958654,1.893431752312838,15.768142187838592,5,15,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s1_chat,t1_ttft_ms,29,439.3,4.076755278054533,False,5.0,21.965,5.869080121231032,1.3360073119123679,10.808622572799763,3,8,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,28,453.59000000000003,10.25301394960443,True,5.0,22.679500000000004,15.385850438017458,3.3920171163423927,28.334908863230076,13,44,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,30,426.70000000000005,4.892597706719898,False,5.0,21.335,6.819368599091494,1.5981646587981,12.558694011647273,4,11,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s1_chat,t1_ttft_ms,27,453.5,4.789728381400025,False,5.0,22.675,7.495958104494644,1.6529124816967242,13.80471561121031,3,11,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,30,458.78,11.485832859619913,True,5.0,22.938999999999997,16.99956588484704,3.705385126824849,31.306761495056037,17,56,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s3_multimodal,t1_ttft_ms,25,460.1,3.8573002115540294,False,5.0,23.005,6.302029487998291,1.3697086476849143,11.605951319700294,2,7,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s1_chat,t1_ttft_ms,27,440.1,3.8019970713242777,False,5.0,22.005,5.662601349605513,1.2866624289037747,10.428366882692155,2,7,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,27,444.5,11.88246850473945,True,5.0,22.225,18.017371335462094,4.053401875244566,33.181173624554965,18,61,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s3_multimodal,t1_ttft_ms,26,441.65,4.282601429392984,False,5.0,22.0825,6.474397330169361,1.4659566014195315,11.92338759782768,3,8,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s1_chat,t1_ttft_ms,27,460.3,4.554038745763152,False,5.0,23.015,7.147061551981086,1.552696404949182,13.162180311780954,3,9,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,30,464.59000000000003,9.002820398450542,False,5.0,23.2295,13.44562128911232,2.8940832323365377,24.76174166460927,11,35,True,False,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,27,471.9,4.019541752819401,False,5.0,23.595,6.425960336368207,1.3617207748184377,11.834185001553037,3,7,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,idle,metro,s1_chat,t1_ttft_ms,22,438.45,4.231682822459337,False,5.0,21.9225,7.017289573633141,1.600476581966733,12.923189480932615,3,8,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,27,432.34,12.907997911660932,True,5.0,21.616999999999997,19.1056126725846,4.419117516904427,35.18530197825155,22,72,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P02,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,29,440.3,4.840828784959592,False,5.0,22.015,7.012412375655228,1.592644191609182,12.914207529576151,3,10,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cucc,busy,metro,s1_chat,t1_ttft_ms,29,457.4,4.293133392169171,False,5.0,22.87,6.517047368510728,1.4248026603652664,12.001932814049843,3,8,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,29,460.35,14.49255344738632,True,5.0,23.0175,21.187655395350117,4.602510132583928,39.01963606570249,25,84,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P02,cucc,busy,metro,s3_multimodal,t1_ttft_ms,30,462.25,3.5153137093716196,False,5.0,23.1125,5.274540932472291,1.1410580708431133,9.71370657859045,2,6,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cucc,idle,metro,s1_chat,t1_ttft_ms,25,445.1,3.9464415527768875,False,5.0,22.255,6.209118244757572,1.3949939889367717,11.434844001310527,2,7,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,28,462.505,12.490230798819905,True,5.0,23.12525,18.951968129146998,4.097678539507032,34.90234692463425,19,64,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P02,cucc,idle,metro,s3_multimodal,t1_ttft_ms,28,449.75,4.511971758481939,False,5.0,22.4875,6.770025315516293,1.5052863403037893,12.467822372880972,3,9,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cmcc,busy,metro,s1_chat,t1_ttft_ms,15,468.2,3.63641780860662,False,5.0,23.41,7.770598896959112,1.6596751168216815,14.310499926218167,2,6,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,13,409.14,10.970254430836322,True,5.0,20.456999999999997,23.4284700114518,5.726272183470646,43.14636784321589,18,58,False,False,0.8,True,,True
SYNTH-EXP,SYNTH-P03,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,15,463.1,3.989097789475481,False,5.0,23.155,8.517542540459266,1.8392447722866043,15.686087200370366,3,7,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cmcc,idle,metro,s1_chat,t1_ttft_ms,13,452.8,2.8037633794114254,False,5.0,22.64,6.23896654962481,1.3778636372846311,11.489813273340191,1,4,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,14,458.99,12.688354175863523,True,5.0,22.949499999999997,27.238003396626954,5.93433482137453,50.162085415359364,20,67,False,False,0.8,True,,True
SYNTH-EXP,SYNTH-P03,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,14,448.7,4.801551933518468,False,5.0,22.435,10.242585838546827,2.282724724436556,18.86296356696107,3,10,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,busy,metro,s1_chat,t1_ttft_ms,13,481.3,3.865038294931312,False,5.0,24.065,9.250170016450225,1.9219135708394401,17.035309516454248,2,7,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,14,475.755,13.056154619898413,True,5.0,23.787750000000003,29.577656600810172,6.216993326567282,54.47084043538008,22,74,False,False,0.8,True,,True
SYNTH-EXP,SYNTH-P03,cucc,busy,metro,s3_multimodal,t1_ttft_ms,15,475.3,4.714026578720963,False,5.0,23.765,10.33098985462456,2.173572449952569,19.025770280102947,3,10,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,idle,metro,s1_chat,t1_ttft_ms,13,468.2,4.818644705983634,False,5.0,23.41,10.926351475169326,2.333693181368929,20.122200882152566,3,10,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,15,455.67,8.559214410542998,False,5.0,22.7835,17.551957200012485,3.8519009809758122,32.32405707030599,9,31,True,False,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,idle,metro,s3_multimodal,t1_ttft_ms,15,447.7,3.973173336533625,False,5.0,22.385,8.102034526567316,1.8097017034995122,14.920878819267243,2,7,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P04,cmcc,busy,metro,s1_chat,t1_ttft_ms,14,498.15,21.191353265918575,True,5.0,24.9075,50.035922048975515,10.0443484992423,92.14721648679247,57,192,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,12,415.33,26.099516204237688,True,5.0,20.7665,58.29468160817946,14.035750272838335,107.35672345399574,95,321,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,13,447.1,27.43615429628834,True,5.0,22.355,59.27447464553991,13.25754297596509,109.16113111610564,92,310,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,idle,metro,s1_chat,t1_ttft_ms,13,452.9,25.550726951961266,True,5.0,22.645,56.19216463909553,12.407190249303495,103.4846835597834,81,272,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,15,443.79,16.999006361279136,True,5.0,22.189500000000002,34.7204243622043,7.823615755696229,63.94187074409775,37,125,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,15,414.6,21.689696009583205,True,5.0,20.73,43.444663223861625,10.478693493454323,80.00861427848787,66,224,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,busy,metro,s1_chat,t1_ttft_ms,14,497.79999999999995,28.156678374243103,True,5.0,24.89,65.85059210240196,13.228323041864599,121.2718486591323,98,333,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,14,512.3149999999999,17.454481797404352,True,5.0,25.61575,43.62913807793669,8.516076647753177,80.34834708681277,41,138,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,busy,metro,s3_multimodal,t1_ttft_ms,13,509.0,16.55013077229775,True,5.0,25.45,42.117042646677504,8.274468103472987,77.56364003341726,36,121,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,idle,metro,s1_chat,t1_ttft_ms,13,427.4,15.279154272563764,True,5.0,21.37,33.8347252021664,7.91640739404923,62.310748364414266,33,111,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,13,407.76,26.764744100531896,True,5.0,20.387999999999998,58.490124600929825,14.344252648844865,107.71665541939784,107,363,False,False,0.8,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,idle,metro,s3_multimodal,t1_ttft_ms,15,471.5,17.91726431513667,True,5.0,23.575,39.67906490272953,8.415496267811141,73.07380845318448,43,145,False,False,0.8,False,network_side_unstable,True
