campaign_id,point_id,carrier,time_band,tier,profile_id,kpi,n,median,mean,cv_percent,unstable,low_confidence,cv_not_computable_reason,implausible_values,scenario_intrinsic_jitter,scenario_jitter_reason,synthetic
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s1_chat,t1_ttft_ms,28,454.5,454.5642857142857,4.747898184140037,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,29,453.1,446.8920689655173,10.472202002794853,True,False,,,True,,True
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,29,452.2,453.0689655172414,5.743132410267968,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s1_chat,t1_ttft_ms,29,439.3,437.5103448275862,4.076755278054533,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,28,453.59000000000003,448.1082142857143,10.25301394960443,True,False,,,True,,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,30,426.70000000000005,430.8233333333334,4.892597706719898,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s1_chat,t1_ttft_ms,27,453.5,458.91481481481486,4.789728381400025,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,30,458.78,457.47766666666666,11.485832859619913,True,False,,,True,,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s3_multimodal,t1_ttft_ms,25,460.1,461.0,3.8573002115540294,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s1_chat,t1_ttft_ms,27,440.1,436.737037037037,3.8019970713242777,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,27,444.5,444.6318518518518,11.88246850473945,True,False,,,True,,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s3_multimodal,t1_ttft_ms,26,441.65,435.0230769230769,4.282601429392984,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s1_chat,t1_ttft_ms,27,460.3,460.2,4.554038745763152,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,30,464.59000000000003,461.633,9.002820398450542,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,27,471.9,468.78888888888883,4.019541752819401,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,idle,metro,s1_chat,t1_ttft_ms,22,438.45,438.93636363636364,4.231682822459337,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,27,432.34,434.02814814814815,12.907997911660932,True,False,,,True,,True
SYNTH-EXP,SYNTH-P02,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,29,440.3,440.2310344827587,4.840828784959592,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cucc,busy,metro,s1_chat,t1_ttft_ms,29,457.4,461.32758620689657,4.293133392169171,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,29,460.35,444.29448275862075,14.49255344738632,True,False,,,True,,True
SYNTH-EXP,SYNTH-P02,cucc,busy,metro,s3_multimodal,t1_ttft_ms,30,462.25,463.78333333333336,3.5153137093716196,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cucc,idle,metro,s1_chat,t1_ttft_ms,25,445.1,443.944,3.9464415527768875,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,28,462.505,453.1028571428571,12.490230798819905,True,False,,,True,,True
SYNTH-EXP,SYNTH-P02,cucc,idle,metro,s3_multimodal,t1_ttft_ms,28,449.75,448.0607142857143,4.511971758481939,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cmcc,busy,metro,s1_chat,t1_ttft_ms,15,468.2,467.0466666666667,3.63641780860662,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,13,409.14,434.5430769230769,10.970254430836322,True,False,,,True,,True
SYNTH-EXP,SYNTH-P03,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,15,463.1,466.68,3.989097789475481,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cmcc,idle,metro,s1_chat,t1_ttft_ms,13,452.8,452.7692307692308,2.8037633794114254,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,14,458.99,453.28142857142853,12.688354175863523,True,False,,,True,,True
SYNTH-EXP,SYNTH-P03,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,14,448.7,450.42857142857144,4.801551933518468,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,busy,metro,s1_chat,t1_ttft_ms,13,481.3,486.9692307692308,3.865038294931312,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,14,475.755,478.3507142857143,13.056154619898413,True,False,,,True,,True
SYNTH-EXP,SYNTH-P03,cucc,busy,metro,s3_multimodal,t1_ttft_ms,15,475.3,478.9933333333333,4.714026578720963,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,idle,metro,s1_chat,t1_ttft_ms,13,468.2,461.37692307692305,4.818644705983634,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,15,455.67,448.1993333333333,8.559214410542998,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P03,cucc,idle,metro,s3_multimodal,t1_ttft_ms,15,447.7,445.6933333333333,3.973173336533625,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P04,cmcc,busy,metro,s1_chat,t1_ttft_ms,14,498.15,498.5642857142857,21.191353265918575,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,12,415.33,436.6375,26.099516204237688,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,13,447.1,439.59230769230766,27.43615429628834,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,idle,metro,s1_chat,t1_ttft_ms,13,452.9,447.4846153846154,25.550726951961266,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,15,443.79,446.4173333333334,16.999006361279136,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,15,414.6,437.7866666666667,21.689696009583205,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,busy,metro,s1_chat,t1_ttft_ms,14,497.79999999999995,493.82857142857137,28.156678374243103,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,14,512.3149999999999,527.7978571428572,17.454481797404352,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,busy,metro,s3_multimodal,t1_ttft_ms,13,509.0,517.8,16.55013077229775,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,idle,metro,s1_chat,t1_ttft_ms,13,427.4,450.5769230769231,15.279154272563764,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,13,407.76,444.6569230769231,26.764744100531896,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P04,cucc,idle,metro,s3_multimodal,t1_ttft_ms,15,471.5,484.02666666666664,17.91726431513667,True,False,,,False,network_side_unstable,True
SYNTH-EXP,SYNTH-P05,cmcc,busy,metro,s1_chat,t1_ttft_ms,13,479.0,478.6769230769231,3.4707767182837213,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P05,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,14,466.295,477.6107142857143,11.87205589944904,True,False,,,True,,True
SYNTH-EXP,SYNTH-P05,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,15,489.4,484.7,5.066394592739424,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P05,cmcc,idle,metro,s1_chat,t1_ttft_ms,15,451.6,452.06,4.021460726608838,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P05,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,15,428.87,436.05199999999996,9.949766425621755,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P05,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,15,442.1,444.22,4.0976185148368405,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P05,cucc,busy,metro,s1_chat,t1_ttft_ms,13,501.3,501.36153846153843,4.114121471220686,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P05,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,14,497.405,503.6564285714286,13.691823047278707,True,False,,,True,,True
SYNTH-EXP,SYNTH-P05,cucc,busy,metro,s3_multimodal,t1_ttft_ms,15,495.1,494.88,4.081327419436871,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P05,cucc,idle,metro,s1_chat,t1_ttft_ms,14,465.25,468.57142857142856,3.5628340295674863,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P05,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,14,463.655,465.6478571428571,9.39600927333668,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P05,cucc,idle,metro,s3_multimodal,t1_ttft_ms,14,467.1,465.2857142857143,5.200701256405138,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P06,cmcc,busy,metro,s1_chat,t1_ttft_ms,15,487.4,492.8,4.369635114565436,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P06,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,14,490.87,479.3464285714286,8.26190161760886,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P06,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,14,494.2,492.0142857142857,4.5023339822395165,False,False,,,False,not_applicable,True
SYNTH-EXP,SYNTH-P06,cmcc,idle,metro,s1_chat,t1_ttft_ms,14,460.65,459.0,5.601628766225746,False,False,,,False,not_applicable,True
