point_id,carrier,time_band,runs,dragging_dim,dragging_median,spread,low_confidence,dim_medians,mixed_campaigns,implausible_values,synthetic
SYNTH-P01,cmcc,busy,20,U1,62.57,37.43,False,T1:100.0;T2:96.67;T3:97.0;N1:91.78;N2:100.0;U1:62.57;U2:92.475,,,True
SYNTH-P01,cmcc,idle,20,U1,73.06,26.939999999999998,False,T1:100.0;T2:99.13;T3:100.0;N1:98.11000000000001;N2:100.0;U1:73.06;U2:93.31,,,True
SYNTH-P01,cucc,busy,20,U1,57.535,42.465,False,T1:100.0;T2:96.345;T3:94.345;N1:88.85;N2:100.0;U1:57.535;U2:92.17,,,True
SYNTH-P01,cucc,idle,20,U1,66.77,33.230000000000004,False,T1:100.0;T2:98.675;T3:100.0;N1:95.775;N2:100.0;U1:66.77;U2:92.84,,,True
SYNTH-P02,cmcc,busy,20,U1,58.455,41.545,False,T1:100.0;T2:95.85;T3:94.74000000000001;N1:89.19999999999999;N2:99.955;U1:58.455;U2:91.63499999999999,,,True
SYNTH-P02,cmcc,idle,20,U1,66.71000000000001,33.28999999999999,False,T1:100.0;T2:97.87;T3:100.0;N1:96.13499999999999;N2:100.0;U1:66.71000000000001;U2:92.985,,,True
SYNTH-P02,cucc,busy,20,U1,54.849999999999994,45.150000000000006,False,T1:100.0;T2:95.22;T3:91.47999999999999;N1:86.225;N2:98.795;U1:54.849999999999994;U2:91.02000000000001,,,True
SYNTH-P02,cucc,idle,20,U1,63.57,36.43,False,T1:100.0;T2:97.17500000000001;T3:98.7;N1:93.66499999999999;N2:100.0;U1:63.57;U2:91.28999999999999,,,True
SYNTH-P03,cmcc,busy,15,U1,55.19,44.81,False,T1:100.0;T2:95.3;T3:92.35;N1:87.01;N2:99.03;U1:55.19;U2:91.06,,,True
SYNTH-P03,cmcc,idle,15,U1,67.21,32.790000000000006,False,T1:100.0;T2:97.87;T3:99.57;N1:94.75;N2:100.0;U1:67.21;U2:92.41,,,True
SYNTH-P03,cucc,busy,15,U1,51.93,48.07,False,T1:100.0;T2:93.74;T3:88.96;N1:83.23;N2:97.75;U1:51.93;U2:90.76,,,True
SYNTH-P03,cucc,idle,15,U1,62.33,37.67,False,T1:100.0;T2:97.13;T3:96.96;N1:92.11;N2:100.0;U1:62.33;U2:92.16,,,True
SYNTH-P04,cmcc,busy,15,U1,47.91,51.760000000000005,False,T1:99.67;T2:99.09;T3:92.43;N1:87.03;N2:98.97;U1:47.91;U2:90.57,,,True
SYNTH-P04,cmcc,idle,15,U1,59.93,40.07,False,T1:100.0;T2:96.52;T3:99.13;N1:94.73;N2:100.0;U1:59.93;U2:99.72,,,True
SYNTH-P04,cucc,busy,15,U1,46.84,53.16,False,T1:100.0;T2:96.74;T3:87.74;N1:81.37;N2:97.69;U1:46.84;U2:91.16,,,True
SYNTH-P04,cucc,idle,15,U1,61.14,38.86,False,T1:100.0;T2:99.74;T3:95.83;N1:91.52;N2:100.0;U1:61.14;U2:97.33,,,True
SYNTH-P05,cmcc,busy,15,U1,51.98,48.02,False,T1:100.0;T2:93.87;T3:88.61;N1:82.61;N2:97.75;U1:51.98;U2:90.33,,,True
SYNTH-P05,cmcc,idle,15,U1,61.53,38.47,False,T1:100.0;T2:97.3;T3:96.61;N1:91.53;N2:100.0;U1:61.53;U2:92.42,,,True
SYNTH-P05,cucc,busy,15,U1,47.12,52.830000000000005,False,T1:99.95;T2:91.91;T3:84.96;N1:78.94;N2:96.44;U1:47.12;U2:89.15,,,True
SYNTH-P05,cucc,idle,15,U1,55.26,44.74,False,T1:100.0;T2:95.0;T3:93.48;N1:88.29;N2:99.41;U1:55.26;U2:92.31,,,True
SYNTH-P06,cmcc,busy,15,U1,48.53,51.47,False,T1:100.0;T2:92.09;T3:86.0;N1:80.47;N2:96.81;U1:48.53;U2:89.6,,,True
SYNTH-P06,cmcc,idle,15,U1,58.63,41.37,False,T1:100.0;T2:96.48;T3:95.04;N1:89.91;N2:100.0;U1:58.63;U2:90.63,,,True
SYNTH-P06,cucc,busy,15,U1,42.95,56.8,False,T1:99.75;T2:90.43;T3:82.61;N1:76.35;N2:95.25;U1:42.95;U2:89.1,,,True
