point_id,carrier,time_band,transport,n,aqs_median,low_confidence,cellular_minus_wifi,noise,within_noise,mixed_campaigns,implausible_values,synthetic
SYNTH-P01,cmcc,busy,cellular,13,91.05,False,-1.2999999999999972,0.3442786552846625,False,,,True
SYNTH-P01,cmcc,busy,wifi,7,92.35,False,,,,,,True
SYNTH-P01,cmcc,idle,cellular,13,94.09,False,-1.2999999999999972,0.3913062444006011,False,,,True
SYNTH-P01,cmcc,idle,wifi,7,95.39,False,,,,,,True
SYNTH-P01,cucc,busy,cellular,13,89.42,False,-1.2199999999999989,0.545678929471743,False,,,True
SYNTH-P01,cucc,busy,wifi,7,90.64,False,,,,,,True
SYNTH-P01,cucc,idle,cellular,13,93.1,False,-1.1800000000000068,0.441704203810096,False,,,True
SYNTH-P01,cucc,idle,wifi,7,94.28,False,,,,,,True
SYNTH-P02,cmcc,busy,cellular,20,89.88999999999999,False,,,,,,True
SYNTH-P02,cmcc,idle,cellular,20,93.31,False,,,,,,True
SYNTH-P02,cucc,busy,cellular,20,88.285,False,,,,,,True
SYNTH-P02,cucc,idle,cellular,20,92.09,False,,,,,,True
SYNTH-P03,cmcc,busy,cellular,15,88.77,False,,,,,,True
SYNTH-P03,cmcc,idle,cellular,15,92.9,False,,,,,,True
SYNTH-P03,cucc,busy,cellular,15,86.8,False,,,,,,True
SYNTH-P03,cucc,idle,cellular,15,91.44,False,,,,,,True
SYNTH-P04,cmcc,busy,cellular,8,87.22999999999999,False,-2.8300000000000125,2.1670159199129686,False,,,True
SYNTH-P04,cmcc,busy,wifi,7,90.06,False,,,,,,True
SYNTH-P04,cmcc,idle,cellular,8,91.03,False,-1.5100000000000051,2.169860894630667,True,,,True
SYNTH-P04,cmcc,idle,wifi,7,92.54,False,,,,,,True
SYNTH-P04,cucc,busy,cellular,8,85.85,False,-0.28000000000000114,2.056838825042342,True,,,True
SYNTH-P04,cucc,busy,wifi,7,86.13,False,,,,,,True
SYNTH-P04,cucc,idle,cellular,8,91.67,False,0.060000000000002274,1.9871174010426667,True,,,True
SYNTH-P04,cucc,idle,wifi,7,91.61,False,,,,,,True
SYNTH-P05,cmcc,busy,cellular,15,86.16,False,,,,,,True
SYNTH-P05,cmcc,idle,cellular,15,91.58,False,,,,,,True
SYNTH-P05,cucc,busy,cellular,15,84.16,False,,,,,,True
SYNTH-P05,cucc,idle,cellular,15,89.07,False,,,,,,True
SYNTH-P06,cmcc,busy,cellular,15,84.86,False,,,,,,True
SYNTH-P06,cmcc,idle,cellular,15,90.1,False,,,,,,True
SYNTH-P06,cucc,busy,cellular,15,82.38,False,,,,,,True
SYNTH-P06,cucc,idle,cellular,15,88.06,False,,,,,,True
SYNTH-P07,cmcc,busy,cellular,8,84.07,False,-1.8000000000000114,0.389867109164563,False,,,True
SYNTH-P07,cmcc,busy,wifi,7,85.87,False,,,,,,True
SYNTH-P07,cmcc,idle,cellular,8,89.4,False,-0.9399999999999977,0.30017289083057275,False,,,True
SYNTH-P07,cmcc,idle,wifi,7,90.34,False,,,,,,True
SYNTH-P07,cucc,busy,cellular,8,80.95,False,-3.1700000000000017,0.6294274286984289,False,,,True
SYNTH-P07,cucc,busy,wifi,7,84.12,False,,,,,,True
SYNTH-P07,cucc,idle,cellular,8,86.66,False,-2.5900000000000034,0.4734642170849823,False,,,True
SYNTH-P07,cucc,idle,wifi,7,89.25,False,,,,,,True
SYNTH-P08,cmcc,busy,cellular,15,76.0,False,,,,,,True
SYNTH-P08,cmcc,idle,cellular,15,82.47,False,,,,,,True
SYNTH-P08,cucc,busy,cellular,15,72.02,False,,,,,,True
SYNTH-P08,cucc,idle,cellular,15,80.25,False,,,,,,True
