point_id,carrier,time_band,scenarios,clock_annotated,clock_suspect,clock_suspect_share,abs_drift_ppm_median,stream_counted,stream_bad,parse_per_event_us_median,clock_hotspot,low_confidence,mixed_campaigns,synthetic
SYNTH-P01,cmcc,busy,90,90,0,0.0,12.2,90,3,61.45,False,False,,True
SYNTH-P01,cmcc,idle,90,90,0,0.0,12.17,90,2,61.400000000000006,False,False,,True
SYNTH-P01,cucc,busy,90,90,0,0.0,9.16,90,1,79.1,False,False,,True
SYNTH-P01,cucc,idle,90,90,0,0.0,13.280000000000001,90,7,59.8,False,False,,True
SYNTH-P02,cmcc,busy,90,90,32,0.35555555555555557,22.96,90,4,67.35,False,False,,True
SYNTH-P02,cmcc,idle,90,90,30,0.3333333333333333,18.335,90,1,65.65,False,False,,True
SYNTH-P02,cucc,busy,90,90,31,0.34444444444444444,20.145000000000003,90,8,77.2,False,False,,True
SYNTH-P02,cucc,idle,90,90,32,0.35555555555555557,22.119999999999997,90,6,62.95,False,False,,True
SYNTH-P03,cmcc,busy,45,45,0,0.0,10.91,45,0,71.4,False,False,,True
SYNTH-P03,cmcc,idle,45,45,0,0.0,18.47,45,1,60.6,False,False,,True
SYNTH-P03,cucc,busy,45,45,0,0.0,15.05,45,2,71.9,False,False,,True
SYNTH-P03,cucc,idle,45,45,0,0.0,13.36,45,2,64.0,False,False,,True
SYNTH-P04,cmcc,busy,45,45,0,0.0,12.79,45,5,65.2,False,False,,True
SYNTH-P04,cmcc,idle,45,45,0,0.0,11.85,45,5,70.4,False,False,,True
SYNTH-P04,cucc,busy,45,45,0,0.0,9.99,45,1,59.8,False,False,,True
SYNTH-P04,cucc,idle,45,45,0,0.0,9.52,45,0,70.7,False,False,,True
SYNTH-P05,cmcc,busy,45,45,0,0.0,10.97,45,0,48.8,False,False,,True
SYNTH-P05,cmcc,idle,45,45,0,0.0,10.86,45,2,74.1,False,False,,True
SYNTH-P05,cucc,busy,45,45,0,0.0,10.3,45,4,68.3,False,False,,True
SYNTH-P05,cucc,idle,45,45,0,0.0,13.93,45,1,69.0,False,False,,True
SYNTH-P06,cmcc,busy,45,45,0,0.0,14.25,45,0,61.0,False,False,,True
SYNTH-P06,cmcc,idle,45,45,0,0.0,11.8,45,1,66.7,False,False,,True
SYNTH-P06,cucc,busy,45,45,0,0.0,13.1,45,0,68.0,False,False,,True
SYNTH-P06,cucc,idle,45,45,0,0.0,11.02,45,0,64.1,False,False,,True
SYNTH-P07,cmcc,busy,45,45,0,0.0,10.97,45,1,59.4,False,False,,True
SYNTH-P07,cmcc,idle,45,45,0,0.0,8.86,45,3,70.5,False,False,,True
SYNTH-P07,cucc,busy,45,45,0,0.0,11.67,45,1,62.9,False,False,,True
SYNTH-P07,cucc,idle,45,45,0,0.0,10.62,45,3,65.6,False,False,,True
SYNTH-P08,cmcc,busy,45,45,0,0.0,14.56,45,3,65.9,False,False,,True
SYNTH-P08,cmcc,idle,45,45,0,0.0,7.33,45,3,66.6,False,False,,True
SYNTH-P08,cucc,busy,45,45,0,0.0,16.46,45,1,63.4,False,False,,True
SYNTH-P08,cucc,idle,45,45,0,0.0,13.5,45,1,66.7,False,False,,True
