point_id,carrier,time_band,profile_id,attempted,valid,valid_low_confidence,invalid,unknown,valid_rate,below_min_rate,reasons,mixed_campaigns,synthetic
SYNTH-P01,cmcc,busy,s1_chat,30,25,3,2,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:2,,True
SYNTH-P01,cmcc,busy,s2_coding_agent,30,23,6,1,0,0.9666666666666667,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P01,cmcc,busy,s3_multimodal,30,23,6,1,0,0.9666666666666667,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P01,cmcc,idle,s1_chat,30,24,5,1,0,0.9666666666666667,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P01,cmcc,idle,s2_coding_agent,30,24,4,2,0,0.9333333333333333,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1;STREAM_ABORTED:1,,True
SYNTH-P01,cmcc,idle,s3_multimodal,30,25,5,0,0,1.0,False,,,True
SYNTH-P01,cucc,busy,s1_chat,30,21,6,3,0,0.9,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1;STREAM_ABORTED:1,,True
SYNTH-P01,cucc,busy,s2_coding_agent,30,27,3,0,0,1.0,False,,,True
SYNTH-P01,cucc,busy,s3_multimodal,30,20,5,5,0,0.8333333333333334,False,PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2;STREAM_ABORTED:2;CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P01,cucc,idle,s1_chat,30,21,6,3,0,0.9,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1;STREAM_ABORTED:1,,True
SYNTH-P01,cucc,idle,s2_coding_agent,30,24,3,3,0,0.9,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1;STREAM_ABORTED:1,,True
SYNTH-P01,cucc,idle,s3_multimodal,30,19,7,4,0,0.8666666666666667,False,PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2;CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P02,cmcc,busy,s1_chat,30,24,3,3,0,0.9,False,PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2;CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P02,cmcc,busy,s2_coding_agent,30,21,9,0,0,1.0,False,,,True
SYNTH-P02,cmcc,busy,s3_multimodal,30,23,4,3,0,0.9,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1;STREAM_ABORTED:1,,True
SYNTH-P02,cmcc,idle,s1_chat,30,20,2,8,0,0.7333333333333333,True,CLOCK_OFFSET_SUSPECT:5;PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2;STREAM_ABORTED:1,,True
SYNTH-P02,cmcc,idle,s2_coding_agent,30,23,4,3,0,0.9,False,STREAM_ABORTED:2;CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P02,cmcc,idle,s3_multimodal,30,25,4,1,0,0.9666666666666667,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P02,cucc,busy,s1_chat,30,24,5,1,0,0.9666666666666667,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P02,cucc,busy,s2_coding_agent,30,23,6,1,0,0.9666666666666667,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P02,cucc,busy,s3_multimodal,30,24,6,0,0,1.0,False,,,True
SYNTH-P02,cucc,idle,s1_chat,30,23,2,5,0,0.8333333333333334,False,PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2;STREAM_ABORTED:2;CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P02,cucc,idle,s2_coding_agent,30,24,4,2,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P02,cucc,idle,s3_multimodal,30,22,6,2,0,0.9333333333333333,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P03,cmcc,busy,s1_chat,15,14,1,0,0,1.0,False,,,True
SYNTH-P03,cmcc,busy,s2_coding_agent,15,10,3,2,0,0.8666666666666667,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1;STREAM_ABORTED:1,,True
SYNTH-P03,cmcc,busy,s3_multimodal,15,11,4,0,0,1.0,False,,,True
