run_id,mode,point_id,carrier,time_band,disposition,authority,synthetic
synth-20260801-EXP-000001,quick,SYNTH-P01,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000017,quick,SYNTH-P01,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000033,quick,SYNTH-P01,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000049,quick,SYNTH-P01,cucc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000065,quick,SYNTH-P02,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000081,quick,SYNTH-P02,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000097,quick,SYNTH-P02,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000113,quick,SYNTH-P02,cucc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000129,quick,SYNTH-P03,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000145,quick,SYNTH-P03,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000161,quick,SYNTH-P03,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000177,quick,SYNTH-P03,cucc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000193,quick,SYNTH-P04,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000209,quick,SYNTH-P04,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000225,quick,SYNTH-P04,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000241,quick,SYNTH-P04,cucc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000257,quick,SYNTH-P05,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000273,quick,SYNTH-P05,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000289,quick,SYNTH-P05,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000305,quick,SYNTH-P05,cucc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000321,quick,SYNTH-P06,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000337,quick,SYNTH-P06,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000353,quick,SYNTH-P06,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000369,quick,SYNTH-P06,cucc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000385,quick,SYNTH-P07,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000401,quick,SYNTH-P07,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000417,quick,SYNTH-P07,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000433,quick,SYNTH-P07,cucc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000449,quick,SYNTH-P08,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000465,quick,SYNTH-P08,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-000481,quick,SYNTH-P08,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-000497,quick,SYNTH-P08,cucc,idle,预热丢弃,D-366,True
synth-20260801-EXP-forensic-000001,forensic,SYNTH-P01,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-forensic-000007,forensic,SYNTH-P01,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-forensic-000013,forensic,SYNTH-P01,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-forensic-000019,forensic,SYNTH-P01,cucc,idle,预热丢弃,D-366,True
synth-20260801-EXP-forensic-000025,forensic,SYNTH-P02,cmcc,busy,预热丢弃,D-366,True
synth-20260801-EXP-forensic-000031,forensic,SYNTH-P02,cmcc,idle,预热丢弃,D-366,True
synth-20260801-EXP-forensic-000037,forensic,SYNTH-P02,cucc,busy,预热丢弃,D-366,True
synth-20260801-EXP-forensic-000043,forensic,SYNTH-P02,cucc,idle,预热丢弃,D-366,True
