point_id,carrier,time_band,profile_id,kpi,access,regional_incr,core_incr,end_to_end_core,coverage,low_confidence,not_computable_reason,incomparability,tier_time_spread_ms,severe_incomparability,synthetic
SYNTH-P01,cmcc,busy,s1_chat,n1_rtt_p50_ms,22.45,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cmcc,busy,s2_coding_agent,n1_rtt_p50_ms,22.84,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cmcc,busy,s3_multimodal,n1_rtt_p50_ms,22.855,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cmcc,idle,s1_chat,n1_rtt_p50_ms,17.11,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cmcc,idle,s2_coding_agent,n1_rtt_p50_ms,16.83,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cmcc,idle,s3_multimodal,n1_rtt_p50_ms,16.91,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cucc,busy,s1_chat,n1_rtt_p50_ms,25.595,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cucc,busy,s2_coding_agent,n1_rtt_p50_ms,25.66,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cucc,busy,s3_multimodal,n1_rtt_p50_ms,25.7,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cucc,idle,s1_chat,n1_rtt_p50_ms,19.06,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cucc,idle,s2_coding_agent,n1_rtt_p50_ms,18.97,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cucc,idle,s3_multimodal,n1_rtt_p50_ms,18.97,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick",,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P02,cmcc,busy,s1_chat,n1_rtt_p50_ms,25.259999999999998,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_MODE:forensic/quick",,,True
SYNTH-P02,cmcc,busy,s2_coding_agent,n1_rtt_p50_ms,25.27,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_MODE:forensic/quick",,,True
SYNTH-P02,cmcc,busy,s3_multimodal,n1_rtt_p50_ms,25.29,,,,metro,False,"TIER_MISSING:regional,core","TIER_MISSING:regional,core;MIXED_MODE:forensic/quick",,,True
