point_id,carrier,time_band,band,rsrp_median_dbm,sinr_median_db,rats,serving_cells,n,n_with_radio,sampled_n_median,stale_samples,low_confidence,thin_samples,implausible_values,synthetic
SYNTH-P01,cmcc,busy,good,-85.69999999999999,14.7,NR,200-12000-504990,19,12,12.0,0,False,False,,True
SYNTH-P01,cmcc,idle,good,-85.35,15.2,NR,200-12000-504990,19,12,12.0,0,False,False,,True
SYNTH-P01,cucc,busy,good,-85.15,15.0,NR,200-12000-504990,19,12,13.5,0,False,False,,True
SYNTH-P01,cucc,idle,good,-84.9,15.6,NR,200-12000-504990,19,12,13.0,0,False,False,,True
SYNTH-P02,cmcc,busy,good,-85.4,14.9,NR,201-12001-504990/251-12001-504990,19,19,13,0,False,False,,True
SYNTH-P02,cmcc,idle,good,-85.1,15.1,NR,201-12001-504990,19,19,13,0,False,False,,True
SYNTH-P02,cucc,busy,good,-84.8,14.7,NR,201-12001-504990/251-12001-504990,19,19,12,0,False,False,,True
SYNTH-P02,cucc,idle,good,-84.9,14.6,NR,201-12001-504990,19,19,14,0,False,False,,True
SYNTH-P03,cmcc,busy,good,-85.1,15.1,NR,202-12002-504990,15,15,1,0,False,True,,True
SYNTH-P03,cmcc,idle,good,-84.6,14.9,NR,202-12002-504990,15,15,2,0,False,True,,True
SYNTH-P03,cucc,busy,good,-86.2,15.1,NR,202-12002-504990,15,15,1,0,False,True,,True
SYNTH-P03,cucc,idle,good,-85.0,15.1,NR,202-12002-504990,15,15,2,0,False,True,,True
SYNTH-P04,cmcc,busy,medium,-99.30000000000001,4.9,NR,203-12003-504990,15,8,13.5,0,False,False,,True
SYNTH-P04,cmcc,idle,medium,-100.6,5.3,NR,203-12003-504990,15,8,11.5,0,False,False,,True
SYNTH-P04,cucc,busy,medium,-99.19999999999999,5.95,NR,203-12003-504990,15,8,14.0,0,False,False,,True
SYNTH-P04,cucc,idle,medium,-99.35,5.75,NR,203-12003-504990,15,8,12.0,0,False,False,,True
SYNTH-P05,cmcc,busy,medium,-100.4,5.0,NR,204-12004-504990,15,15,13,0,False,False,,True
SYNTH-P05,cmcc,idle,medium,-99.8,5.0,NR,304-12004-504990,15,15,13,0,False,False,,True
SYNTH-P05,cucc,busy,medium,-99.5,5.3,NR,204-12004-504990,15,15,15,0,False,False,,True
SYNTH-P05,cucc,idle,medium,-100.7,5.1,NR,304-12004-504990,15,15,14,0,False,False,,True
SYNTH-P06,cmcc,busy,medium,-100.4,5.0,LTE/NR,205-12005-504990,15,15,14,0,False,False,,True
SYNTH-P06,cmcc,idle,medium,-99.3,5.0,LTE/NR,205-12005-504990,15,15,13,0,False,False,,True
SYNTH-P06,cucc,busy,medium,-100.1,5.4,LTE/NR,205-12005-504990,15,15,13,0,False,False,,True
SYNTH-P06,cucc,idle,medium,-99.8,5.1,LTE/NR,205-12005-504990,15,15,12,0,False,False,,True
SYNTH-P07,cmcc,busy,weak,-112.2,-2.7,NR,206-12006-504990,15,8,15,1,False,False,,True
SYNTH-P07,cmcc,idle,weak,-111.3,-1.5,NR,206-12006-504990,15,8,14,1,False,False,,True
SYNTH-P07,cucc,busy,weak,-112.1,-1.6,NR,206-12006-504990,15,8,11,1,False,False,,True
SYNTH-P07,cucc,idle,weak,-111.2,-0.7,NR,206-12006-504990,15,8,13,1,False,False,,True
SYNTH-P08,cmcc,busy,weak,-112.4,-2.1,NR,207-12007-504990,15,15,14,0,False,False,rsrp_dbm>-30×1,True
SYNTH-P08,cmcc,idle,weak,-111.05,-1.8,NR,207-12007-504990,15,15,13,0,False,False,rsrp_dbm>-30×1,True
SYNTH-P08,cucc,busy,weak,-111.7,-2.2,NR,207-12007-504990,15,15,17,0,False,False,rsrp_dbm>-30×1,True
SYNTH-P08,cucc,idle,weak,-111.05,-2.2,NR,207-12007-504990,15,15,12,0,False,False,rsrp_dbm>-30×1,True
