point_id,carrier,bands,shared_cells,verdict,synthetic
SYNTH-P01,cmcc,busy:200-12000-504990; idle:200-12000-504990,200-12000-504990,SAME_CELL,True
SYNTH-P01,cucc,busy:200-12000-504990; idle:200-12000-504990,200-12000-504990,SAME_CELL,True
SYNTH-P02,cmcc,busy:201-12001-504990/251-12001-504990; idle:201-12001-504990,201-12001-504990,CELL_PARTIAL,True
SYNTH-P02,cucc,busy:201-12001-504990/251-12001-504990; idle:201-12001-504990,201-12001-504990,CELL_PARTIAL,True
SYNTH-P03,cmcc,busy:202-12002-504990; idle:202-12002-504990,202-12002-504990,SAME_CELL,True
SYNTH-P03,cucc,busy:202-12002-504990; idle:202-12002-504990,202-12002-504990,SAME_CELL,True
SYNTH-P04,cmcc,busy:203-12003-504990; idle:203-12003-504990,203-12003-504990,SAME_CELL,True
SYNTH-P04,cucc,busy:203-12003-504990; idle:203-12003-504990,203-12003-504990,SAME_CELL,True
SYNTH-P05,cmcc,busy:204-12004-504990; idle:304-12004-504990,,CELL_CHANGED,True
SYNTH-P05,cucc,busy:204-12004-504990; idle:304-12004-504990,,CELL_CHANGED,True
SYNTH-P06,cmcc,busy:205-12005-504990; idle:205-12005-504990,205-12005-504990,SAME_CELL,True
SYNTH-P06,cucc,busy:205-12005-504990; idle:205-12005-504990,205-12005-504990,SAME_CELL,True
SYNTH-P07,cmcc,busy:206-12006-504990; idle:206-12006-504990,206-12006-504990,SAME_CELL,True
SYNTH-P07,cucc,busy:206-12006-504990; idle:206-12006-504990,206-12006-504990,SAME_CELL,True
SYNTH-P08,cmcc,busy:207-12007-504990; idle:207-12007-504990,207-12007-504990,SAME_CELL,True
SYNTH-P08,cucc,busy:207-12007-504990; idle:207-12007-504990,207-12007-504990,SAME_CELL,True
