point_id,carrier,time_band,profile_id,attempted,valid,valid_low_confidence,invalid,unknown,valid_rate,below_min_rate,reasons,mixed_campaigns,synthetic
SYNTH-P01,cmcc,busy,s1_chat,27,22,3,2,0,0.9259259259259259,False,CLOCK_OFFSET_SUSPECT:2,,True
SYNTH-P01,cmcc,busy,s2_coding_agent,27,21,5,1,0,0.9629629629629629,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P01,cmcc,busy,s3_multimodal,27,22,4,1,0,0.9629629629629629,False,CLOCK_OFFSET_SUSPECT:1,,True
SYNTH-P01,cmcc,idle,s1_chat,27,20,5,2,0,0.9259259259259259,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P01,cmcc,idle,s2_coding_agent,27,19,6,2,0,0.9259259259259259,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1;STREAM_ABORTED:1,,True
SYNTH-P01,cmcc,idle,s3_multimodal,27,23,4,0,0,1.0,False,,,True
SYNTH-P01,cucc,busy,s1_chat,27,19,5,3,0,0.8888888888888888,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1;STREAM_ABORTED:1,,True
SYNTH-P01,cucc,busy,s2_coding_agent,27,25,2,0,0,1.0,False,,,True
SYNTH-P01,cucc,busy,s3_multimodal,27,21,2,4,0,0.8518518518518519,False,PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2;CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P01,cucc,idle,s1_chat,27,22,3,2,0,0.9259259259259259,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P01,cucc,idle,s2_coding_agent,27,21,3,3,0,0.8888888888888888,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1;STREAM_ABORTED:1,,True
SYNTH-P01,cucc,idle,s3_multimodal,27,17,8,2,0,0.9259259259259259,False,CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P02,cmcc,busy,s1_chat,27,19,7,1,0,0.9629629629629629,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P02,cmcc,busy,s2_coding_agent,27,19,8,0,0,1.0,False,,,True
SYNTH-P02,cmcc,busy,s3_multimodal,27,20,5,2,0,0.9259259259259259,False,CLOCK_OFFSET_SUSPECT:1;STREAM_ABORTED:1,,True
SYNTH-P02,cmcc,idle,s1_chat,27,20,3,4,0,0.8518518518518519,False,CLOCK_OFFSET_SUSPECT:3;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P02,cmcc,idle,s2_coding_agent,27,24,3,0,0,1.0,False,,,True
SYNTH-P02,cmcc,idle,s3_multimodal,27,21,5,1,0,0.9629629629629629,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P02,cucc,busy,s1_chat,27,20,2,5,0,0.8148148148148148,False,CLOCK_OFFSET_SUSPECT:2;PROFILE_MISMATCH:2;RETRY_EXHAUSTED:2;STREAM_ABORTED:1,,True
SYNTH-P02,cucc,busy,s2_coding_agent,27,17,6,4,0,0.8518518518518519,False,STREAM_ABORTED:2;CLOCK_OFFSET_SUSPECT:1;PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
SYNTH-P02,cucc,busy,s3_multimodal,27,23,3,1,0,0.9629629629629629,False,PROFILE_MISMATCH:1;RETRY_EXHAUSTED:1,,True
