point_id,carrier,time_band,aqs_median,stdev,grade,n,low_confidence,mixed_campaigns,veto_n,scorer_low_conf_n,tier_mix,missing_tiers,incomparability,severe_incomparability,synthetic
SYNTH-P01,cmcc,busy,91.77,0.8995876248241983,excellent,19,False,,0,0,metro19,,MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cmcc,idle,94.9,0.9054009483057665,excellent,19,False,,0,0,metro19,,MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cucc,busy,89.58,1.0766995269549569,excellent,19,False,,0,0,metro19,,MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P01,cucc,idle,93.39,0.8816226400973178,excellent,19,False,,0,0,metro19,,MIXED_TRANSPORT:cellular/wifi;MIXED_MODE:forensic/quick,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P02,cmcc,busy,90.01,0.8347419673448678,excellent,19,False,,0,0,metro19,,MIXED_MODE:forensic/quick,,True
SYNTH-P02,cmcc,idle,93.3,0.6046476911469665,excellent,19,False,,0,0,metro19,,MIXED_MODE:forensic/quick,,True
SYNTH-P02,cucc,busy,88.35,0.8071594840851081,excellent,19,False,,0,0,metro19,,MIXED_MODE:forensic/quick,,True
SYNTH-P02,cucc,idle,92.04,0.6898071601024839,excellent,19,False,,0,0,metro19,,MIXED_MODE:forensic/quick,,True
SYNTH-P03,cmcc,busy,88.77,0.7734880797554727,excellent,15,False,,0,0,metro15,,,,True
SYNTH-P03,cmcc,idle,92.9,0.8707358683211314,excellent,15,False,,0,0,metro15,,,,True
SYNTH-P03,cucc,busy,86.8,0.5412006053563652,excellent,15,False,,0,1,metro15,,SCORER_LOW_CONF:1/15,,True
SYNTH-P03,cucc,idle,91.44,0.7251029483558071,excellent,15,False,,0,0,metro15,,,,True
SYNTH-P04,cmcc,busy,88.08,3.214034995512798,excellent,15,False,,0,0,metro15,,MIXED_TRANSPORT:cellular/wifi,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P04,cmcc,idle,91.3,3.6407728117347116,excellent,15,False,,0,0,metro15,,MIXED_TRANSPORT:cellular/wifi,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P04,cucc,busy,86.03,2.952464345980441,excellent,15,False,,0,0,metro15,,MIXED_TRANSPORT:cellular/wifi,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P04,cucc,idle,91.61,3.07460845358513,excellent,15,False,,0,0,metro15,,MIXED_TRANSPORT:cellular/wifi,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P05,cmcc,busy,86.16,0.7067093428263804,excellent,15,False,,0,0,metro15,,,,True
SYNTH-P05,cmcc,idle,91.58,0.7390534486760753,excellent,15,False,,0,0,metro15,,,,True
SYNTH-P05,cucc,busy,84.16,0.5928100956662344,good,15,False,,0,0,metro15,,,,True
SYNTH-P05,cucc,idle,89.07,0.7417880585514466,excellent,15,False,,0,0,metro15,,,,True
SYNTH-P06,cmcc,busy,84.86,0.9270680870870486,good,15,False,,0,0,metro15,,,,True
SYNTH-P06,cmcc,idle,90.1,0.5773073787193537,excellent,15,False,,0,1,metro15,,SCORER_LOW_CONF:1/15,,True
SYNTH-P06,cucc,busy,82.38,0.7025735006456777,good,15,False,,0,0,metro15,,,,True
SYNTH-P06,cucc,idle,88.06,0.6089592996017298,excellent,15,False,,0,0,metro15,,,,True
SYNTH-P07,cmcc,busy,84.78,1.060722125993151,good,15,False,,0,0,metro15,,MIXED_TRANSPORT:cellular/wifi,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P07,cmcc,idle,89.88,0.6582299496883023,excellent,15,False,,0,0,metro15,,MIXED_TRANSPORT:cellular/wifi,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P07,cucc,busy,82.26,1.7560298836810697,good,15,False,,0,0,metro15,,MIXED_TRANSPORT:cellular/wifi,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P07,cucc,idle,87.95,1.418148692586823,excellent,15,False,,0,0,metro15,,MIXED_TRANSPORT:cellular/wifi,MIXED_TRANSPORT:cellular/wifi,True
SYNTH-P08,cmcc,busy,76.0,0.9171295800848801,good,15,False,,0,0,metro15,,,,True
SYNTH-P08,cmcc,idle,82.47,0.8325674575844121,good,15,False,,0,0,metro15,,,,True
SYNTH-P08,cucc,busy,72.02,1.0635618503518303,good,15,False,,0,0,metro15,,,,True
SYNTH-P08,cucc,idle,80.25,1.0046141168675278,good,15,False,,0,0,metro15,,,,True
