kpi,point_id,carrier,time_band,median,profile_span,profile_medians,grade,grade_tie,n,low_confidence,mixed_campaigns,implausible_values,ruled_out,synthetic
t1_ttft_ms,SYNTH-P01,cmcc,busy,447.7,431.8–453.8（3 个 profile）,s1_chat=453.8; s2_coding_agent=431.8; s3_multimodal=447.79999999999995,good,,77,False,,,,True
t1_ttft_ms,SYNTH-P01,cmcc,idle,432.0,426.41–437.2（3 个 profile）,s1_chat=437.2; s2_coding_agent=426.41; s3_multimodal=431.0,good,,77,False,,,,True
t1_ttft_ms,SYNTH-P01,cucc,busy,460.4,457.33–463.25（3 个 profile）,s1_chat=463.25; s2_coding_agent=457.33; s3_multimodal=457.8,good,,74,False,,,,True
t1_ttft_ms,SYNTH-P01,cucc,idle,437.79999999999995,429.8–443.5（3 个 profile）,s1_chat=429.8; s2_coding_agent=434.645; s3_multimodal=443.5,good,,74,False,,,,True
t1_ttft_ms,SYNTH-P02,cmcc,busy,462.85,453.66–471.9（3 个 profile）,s1_chat=460.25; s2_coding_agent=453.66; s3_multimodal=471.9,good,,78,False,,,,True
t1_ttft_ms,SYNTH-P02,cmcc,idle,435.45000000000005,421.81–439.4（3 个 profile）,s1_chat=435.6; s2_coding_agent=421.81; s3_multimodal=439.4,good,,76,False,,,,True
t1_ttft_ms,SYNTH-P02,cucc,busy,464.58,457.5–467.5（3 个 profile）,s1_chat=457.5; s2_coding_agent=462.24; s3_multimodal=467.5,good,,71,False,,,,True
t1_ttft_ms,SYNTH-P02,cucc,idle,446.95,441.6–456.9（3 个 profile）,s1_chat=441.6; s2_coding_agent=456.9; s3_multimodal=449.95,good,,78,False,,,,True
t1_ttft_ms,SYNTH-P03,cmcc,busy,462.2,409.14–468.2（3 个 profile）,s1_chat=468.2; s2_coding_agent=409.14; s3_multimodal=463.1,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P03,cmcc,idle,454.0,448.7–458.99（3 个 profile）,s1_chat=452.8; s2_coding_agent=458.99; s3_multimodal=448.7,good,,41,False,,,,True
t1_ttft_ms,SYNTH-P03,cucc,busy,480.5,475.3–481.3（3 个 profile）,s1_chat=481.3; s2_coding_agent=475.755; s3_multimodal=475.3,good,,42,False,,,,True
t1_ttft_ms,SYNTH-P03,cucc,idle,455.9,447.7–468.2（3 个 profile）,s1_chat=468.2; s2_coding_agent=455.67; s3_multimodal=447.7,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P04,cmcc,busy,453.3,415.33–498.15（3 个 profile）,s1_chat=498.15; s2_coding_agent=415.33; s3_multimodal=447.1,good,,39,False,,,,True
t1_ttft_ms,SYNTH-P04,cmcc,idle,451.7,414.6–452.9（3 个 profile）,s1_chat=452.9; s2_coding_agent=443.79; s3_multimodal=414.6,good,,43,False,,,,True
t1_ttft_ms,SYNTH-P04,cucc,busy,509.0,497.8–512.31（3 个 profile）,s1_chat=497.79999999999995; s2_coding_agent=512.3149999999999; s3_multimodal=509.0,good,,41,False,,,,True
t1_ttft_ms,SYNTH-P04,cucc,idle,448.1,407.76–471.5（3 个 profile）,s1_chat=427.4; s2_coding_agent=407.76; s3_multimodal=471.5,good,,41,False,,,,True
t1_ttft_ms,SYNTH-P05,cmcc,busy,481.4,466.3–489.4（3 个 profile）,s1_chat=479.0; s2_coding_agent=466.295; s3_multimodal=489.4,good,,42,False,,,,True
t1_ttft_ms,SYNTH-P05,cmcc,idle,444.8,428.87–451.6（3 个 profile）,s1_chat=451.6; s2_coding_agent=428.87; s3_multimodal=442.1,good,,45,False,,,,True
t1_ttft_ms,SYNTH-P05,cucc,busy,499.95,495.1–501.3（3 个 profile）,s1_chat=501.3; s2_coding_agent=497.405; s3_multimodal=495.1,good,,42,False,,,,True
t1_ttft_ms,SYNTH-P05,cucc,idle,466.55,463.65–467.1（3 个 profile）,s1_chat=465.25; s2_coding_agent=463.655; s3_multimodal=467.1,good,,42,False,,,,True
