campaign_id,point_id,carrier,time_band,tier,profile_id,kpi,n,median,cv_percent,unstable,target_effect_pct,target_abs,mde,mde_pct,mde_at_power,required_n_breakeven,required_n_at_power,resolves_target_breakeven,resolves_at_power,plan_power,scenario_intrinsic_jitter,scenario_jitter_reason,synthetic
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s1_chat,t1_ttft_ms,25,453.8,4.893000111241206,False,5.0,22.69,7.883929900854099,1.7373137727752532,14.51921270941331,4,11,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s2_coding_agent,t1_ttft_ms,26,431.8,10.988846618017838,True,5.0,21.59,16.768498744422565,3.883394799542048,30.88122334286935,16,54,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P01,cmcc,busy,metro,s3_multimodal,t1_ttft_ms,26,447.79999999999995,5.748739762547752,False,5.0,22.39,8.994557360444123,2.0086103975980625,16.56456782158344,5,15,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s1_chat,t1_ttft_ms,25,437.2,4.187538417488127,False,5.0,21.86,6.47399543986288,1.4807857822193229,11.9226474681057,3,8,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s2_coding_agent,t1_ttft_ms,25,426.41,10.963540912400234,True,5.0,21.320500000000003,16.92170968482283,3.9684129557990735,31.16337986392615,16,54,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P01,cmcc,idle,metro,s3_multimodal,t1_ttft_ms,27,431.0,5.1050340340489475,False,5.0,21.55,7.482930191517898,1.7361786987280505,13.780723130043196,4,12,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s1_chat,t1_ttft_ms,24,463.25,4.619381283002349,False,5.0,23.1625,7.768599389804403,1.6769777419977125,14.306817591385373,3,10,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s2_coding_agent,t1_ttft_ms,27,457.33,12.93783401338701,True,5.0,22.866500000000002,20.454041236298835,4.4724905946032045,37.668596653143915,22,74,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P01,cucc,busy,metro,s3_multimodal,t1_ttft_ms,23,457.8,3.8194863166685855,False,5.0,22.89,6.472959894974538,1.4139274563072386,11.920740386651012,2,7,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s1_chat,t1_ttft_ms,25,429.8,4.0904131179686605,False,5.0,21.49,6.289452606796027,1.4633440220558462,11.58278946822608,3,8,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s2_coding_agent,t1_ttft_ms,24,434.645,10.933551791409046,True,5.0,21.73225,17.13251114481057,3.9417251193066924,31.551596308707747,15,51,True,False,0.8,True,,True
SYNTH-EXP,SYNTH-P01,cucc,idle,metro,s3_multimodal,t1_ttft_ms,25,443.5,3.22892024987049,False,5.0,22.175,5.033474270978247,1.134943465835005,9.269753096076485,2,5,True,True,0.8,False,not_applicable,True
SYNTH-EXP,SYNTH-P02,cmcc,busy,metro,s1_chat,t1_ttft_ms,26,460.25,3.8968195375384154,False,5.0,23.0125,6.213220103419774,1.3499663451210806,11.442398071319953,2,7,True,True,0.8,False,not_applicable,True
