point_id,carrier,time_band,scenarios,clock_annotated,clock_suspect,clock_suspect_share,abs_drift_ppm_median,stream_counted,stream_bad,parse_per_event_us_median,clock_hotspot,low_confidence,mixed_campaigns,synthetic
SYNTH-P01,cmcc,busy,81,81,0,0.0,12.14,81,3,61.5,False,False,,True
SYNTH-P01,cmcc,idle,81,81,0,0.0,11.94,81,2,62.6,False,False,,True
SYNTH-P01,cucc,busy,81,81,0,0.0,9.42,81,1,67.1,False,False,,True
SYNTH-P01,cucc,idle,81,81,0,0.0,13.21,81,4,60.7,False,False,,True
SYNTH-P02,cmcc,busy,81,81,32,0.3950617283950617,23.81,81,5,69.9,False,False,,True
SYNTH-P02,cmcc,idle,81,81,30,0.37037037037037035,23.51,81,1,68.2,False,False,,True
SYNTH-P02,cucc,busy,81,81,31,0.38271604938271603,21.63,81,5,66.5,False,False,,True
SYNTH-P02,cucc,idle,81,81,32,0.3950617283950617,22.31,81,8,68.5,False,False,,True
SYNTH-P03,cmcc,busy,45,45,0,0.0,10.91,45,0,71.4,False,False,,True
SYNTH-P03,cmcc,idle,45,45,0,0.0,18.47,45,1,60.6,False,False,,True
SYNTH-P03,cucc,busy,45,45,0,0.0,15.05,45,2,71.9,False,False,,True
SYNTH-P03,cucc,idle,45,45,0,0.0,13.36,45,2,64.0,False,False,,True
SYNTH-P04,cmcc,busy,45,45,0,0.0,12.79,45,5,65.2,False,False,,True
SYNTH-P04,cmcc,idle,45,45,0,0.0,11.85,45,5,70.4,False,False,,True
SYNTH-P04,cucc,busy,45,45,0,0.0,9.99,45,1,59.8,False,False,,True
SYNTH-P04,cucc,idle,45,45,0,0.0,9.52,45,0,70.7,False,False,,True
SYNTH-P05,cmcc,busy,45,45,0,0.0,10.97,45,0,48.8,False,False,,True
SYNTH-P05,cmcc,idle,45,45,0,0.0,10.86,45,2,74.1,False,False,,True
SYNTH-P05,cucc,busy,45,45,0,0.0,10.3,45,4,68.3,False,False,,True
SYNTH-P05,cucc,idle,45,45,0,0.0,13.93,45,1,69.0,False,False,,True
SYNTH-P06,cmcc,busy,45,45,0,0.0,14.25,45,0,61.0,False,False,,True
SYNTH-P06,cmcc,idle,45,45,0,0.0,11.8,45,1,66.7,False,False,,True
SYNTH-P06,cucc,busy,45,45,0,0.0,13.1,45,0,68.0,False,False,,True
SYNTH-P06,cucc,idle,45,45,0,0.0,11.02,45,0,64.1,False,False,,True
SYNTH-P07,cmcc,busy,45,45,0,0.0,10.97,45,1,59.4,False,False,,True
SYNTH-P07,cmcc,idle,45,45,0,0.0,8.86,45,3,70.5,False,False,,True
SYNTH-P07,cucc,busy,45,45,0,0.0,11.67,45,1,62.9,False,False,,True
SYNTH-P07,cucc,idle,45,45,0,0.0,10.62,45,3,65.6,False,False,,True
SYNTH-P08,cmcc,busy,45,45,0,0.0,14.56,45,3,65.9,False,False,,True
SYNTH-P08,cmcc,idle,45,45,0,0.0,7.33,45,3,66.6,False,False,,True
SYNTH-P08,cucc,busy,45,45,0,0.0,16.46,45,1,63.4,False,False,,True
SYNTH-P08,cucc,idle,45,45,0,0.0,13.5,45,1,66.7,False,False,,True
